param_name,sp0_mean_TL,sp1_mean_TL,sp2_mean_TL,sp3_mean_TL,sp4_mean_TL,sp5_mean_TL,sp6_mean_TL,sp7_mean_TL,sp8_mean_TL,sp9_mean_TL,sp10_mean_TL,sp11_mean_TL,sp12_mean_TL,sp13_mean_TL,sp14_mean_TL,sp15_mean_TL
predation.predPrey.sizeRatio.alpha.sp5.stage2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
predation.predPrey.sizeRatio.teta.sp6.stage1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
predation.predPrey.sizeRatio.alpha.sp6.stage1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
predation.predPrey.sizeRatio.teta.sp7.stage1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
predation.predPrey.sizeRatio.alpha.sp7.stage1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
predation.predPrey.sizeRatio.teta.sp8.stage1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
predation.predPrey.sizeRatio.alpha.sp8.stage1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
predation.predPrey.sizeRatio.teta.sp9.stage1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
predation.predPrey.sizeRatio.alpha.sp9.stage1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
predation.predPrey.sizeRatio.teta.sp10.stage1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
predation.predPrey.sizeRatio.alpha.sp10.stage1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
predation.predPrey.sizeRatio.teta.sp11.stage1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
predation.predPrey.sizeRatio.alpha.sp11.stage1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
predation.predPrey.sizeRatio.teta.sp12.stage1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
predation.predPrey.sizeRatio.alpha.sp12.stage1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
predation.predPrey.sizeRatio.teta.sp13.stage1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
predation.predPrey.sizeRatio.alpha.sp13.stage1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
predation.predPrey.sizeRatio.teta.sp14.stage1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
predation.predPrey.sizeRatio.alpha.sp14.stage1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
predation.predPrey.sizeRatio.teta.sp15.stage1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
predation.predPrey.sizeRatio.alpha.sp15.stage1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
